name,games,games_start,mins_played,fields_made,fg_attempts,fg_pct,3p_made,3p_attempts,3p_pct,2p_made,2p_attempts,2p_pct,ft_made,ft_attempts,ft_pct,off_reb,def_reb,total_reb,assists,steals,blocks,turnovers,fouls,points
Cynthia Cooper,124,4363,6.6,14.4,0.459,2.0,5.2,0.377,4.6,9.2,0.505,6.3,7.2,0.871,0.8,2.5,3.3,5.0,1.6,0.3,3.5,2.2,21.5,
Ruthie Bolton,218,91,5093.0,5.4,14.8,0.367,2.2,7.0,0.319,3.2,7.8,0.41,2.4,3.2,0.746,1.6,3.2,4.8,2.5,1.8,0.0,1.9,3.1,15.4
Lisa Leslie,363,361,11634.0,7.2,15.4,0.47,0.4,1.2,0.316,6.8,14.2,0.483,4.6,6.6,0.695,2.7,7.5,10.2,2.7,1.5,2.5,3.7,4.3,19.4
Wendy Palmer,311,215,7663.0,5.4,12.5,0.434,0.7,2.3,0.307,4.7,10.3,0.462,3.2,4.5,0.707,2.5,6.1,8.6,1.5,1.1,0.3,2.4,3.9,14.8
Jennifer Gillom,216,193,5886.0,6.4,15.1,0.426,0.9,2.9,0.326,5.5,12.2,0.45,3.9,5.2,0.759,1.7,4.2,5.9,1.6,1.3,0.6,2.7,3.8,17.7
Teresa Weatherspoon,254,220,7134.0,2.2,5.4,0.411,0.4,1.3,0.281,1.8,4.1,0.454,1.6,2.4,0.658,0.8,3.1,3.9,6.8,2.3,0.1,3.0,3.0,6.4
Penny Toler,88,62,2279.0,5.4,13.2,0.406,0.5,1.8,0.306,4.8,11.5,0.421,2.6,3.3,0.811,1.2,2.7,3.8,5.6,1.3,0.1,3.9,2.8,13.9
Michele Timms,116,112,3288.0,3.1,9.3,0.338,1.4,4.4,0.324,1.7,4.9,0.35,1.8,2.4,0.755,0.8,2.6,3.4,6.0,2.1,0.2,3.3,3.5,9.5
Chantel Tremitiere,101,49,2269.0,2.3,6.5,0.353,0.5,1.6,0.301,1.8,4.8,0.37,1.9,2.6,0.739,0.7,2.8,3.6,4.9,1.5,0.1,3.3,3.0,6.9
Sophia Witherspoon.207,146,4862,5.4,14.3,0.38,1.9,5.5,0.351,3.5,8.8,0.398,3.6,4.5,0.802,1.0,2.3,3.3,2.3,1.6,0.2,2.9,2.6,16.4,
Bridget Pettis,228,71,3902.0,4.2,12.4,0.341,1.4,5.3,0.27,2.8,7.1,0.393,3.2,3.9,0.809,1.6,2.6,4.2,2.9,1.6,0.3,2.6,3.2,13.0
Janice Braxton,81,75,2138.0,4.2,9.1,0.458,0.1,0.4,0.333,4.0,8.7,0.463,3.9,5.2,0.748,1.7,6.2,7.9,2.6,1.8,0.9,2.6,3.3,12.3
Elena Baranova,209,168,5991.0,4.7,11.0,0.424,1.3,3.4,0.391,3.3,7.6,0.439,2.0,2.3,0.845,1.8,6.2,8.0,2.6,1.3,1.9,2.7,3.0,12.7
Rebecca Lobo,121,72,2329.0,4.9,12.0,0.407,0.6,2.1,0.295,4.3,9.9,0.431,2.1,3.3,0.628,2.4,5.4,7.7,1.8,0.8,1.6,2.9,3.6,12.5
Vicky Bullett,186,186,5950.0,4.9,10.9,0.452,0.4,1.3,0.315,4.5,9.5,0.471,1.9,2.5,0.776,2.2,5.0,7.2,1.8,2.1,1.7,2.2,3.1,12.2
Kim Perrot,58,54,1678.0,3.2,8.2,0.387,1.2,4.4,0.275,1.9,3.7,0.52,1.4,2.3,0.598,0.8,2.8,3.6,4.9,3.3,0.0,3.2,2.6,8.9
Umeki Webb,71,52,1816.0,2.3,7.1,0.321,0.1,0.7,0.189,2.1,6.4,0.336,2.1,3.0,0.702,1.8,3.1,4.9,3.4,2.4,0.7,2.4,4.5,6.8
Tamika Catchings,457,448,14387.0,6.0,14.4,0.415,1.5,4.3,0.356,4.5,10.1,0.44,5.0,6.0,0.84,2.3,6.0,8.3,3.7,2.7,1.0,2.6,3.1,18.5
Sheryl Swoopes,324,305,10591.0,6.2,14.3,0.436,0.9,2.9,0.316,5.3,11.4,0.466,3.2,3.9,0.825,1.2,4.3,5.4,3.5,2.2,0.7,2.3,1.8,16.6
Lauren Jackson,317,317,10130.0,7.4,16.1,0.46,1.5,4.4,0.351,5.9,11.7,0.501,4.9,5.9,0.842,2.5,6.2,8.7,1.5,1.3,2.1,2.0,3.5,21.3
Mwadi Mabika,339,281,8931.0,5.1,13.1,0.385,1.7,5.1,0.327,3.4,8.0,0.422,2.6,3.3,0.799,1.3,4.1,5.3,3.1,1.5,0.4,2.2,3.8,14.4
Ticha Penicheiro,454,423,12796.0,2.4,6.8,0.351,0.4,1.5,0.248,2.0,5.4,0.378,2.6,3.5,0.731,0.6,3.6,4.2,7.3,2.1,0.1,3.2,2.6,7.7
Sue Bird,580,580,18080.0,4.9,11.5,0.429,2.0,5.1,0.392,2.9,6.4,0.458,1.7,2.0,0.853,0.4,2.5,2.9,6.4,1.4,0.1,2.8,1.5,13.5
Shannon Johnson,352,292,10399.0,3.8,9.7,0.395,1.1,3.3,0.333,2.8,6.5,0.426,3.5,4.6,0.764,1.1,2.8,4.0,4.9,1.7,0.2,3.3,2.8,12.3
Tanja Kostic,10,0,76.0,2.4,5.7,0.417,0.0,0.0,,2.4,5.7,0.417,0.9,1.9,0.5,1.9,1.4,3.3,2.8,0.9,0.0,4.7,3.8,5.7
Allison Feaster,284,156,6307.0,4.2,11.2,0.378,2.1,6.2,0.344,2.1,5.0,0.421,2.3,2.8,0.835,1.4,2.6,4.0,2.3,1.3,0.3,2.1,2.9,12.9
Crystal Robinson,245,207,7375.0,4.3,10.1,0.427,2.1,5.6,0.374,2.2,4.6,0.49,1.5,1.8,0.85,0.9,2.3,3.2,2.4,1.3,0.3,1.5,3.3,12.2
Katie Smith,482,439,15725.0,4.7,11.6,0.404,2.1,5.6,0.367,2.6,6.0,0.438,3.3,3.8,0.859,0.7,2.4,3.2,2.9,0.9,0.2,2.1,2.7,14.8
Margo Dydek,323,301,7872.0,5.5,11.9,0.467,0.1,0.4,0.295,5.4,11.5,0.472,3.6,4.5,0.791,1.7,8.1,9.8,2.4,0.8,4.0,3.5,4.4,14.7
Natalie Williams,221,219,6879.0,5.6,11.8,0.474,0.0,0.1,0.286,5.5,11.6,0.476,3.9,5.3,0.741,3.8,5.8,9.6,1.6,1.4,0.6,2.5,4.4,15.1
Tina Thompson,496,470,16089.0,5.9,14.1,0.418,1.7,4.5,0.371,4.2,9.6,0.44,3.3,4.0,0.832,2.0,4.9,6.9,1.8,1.0,0.8,2.7,2.8,16.8
Ruth Riley,387,262,8587.0,4.1,9.2,0.442,0.2,0.6,0.297,3.9,8.7,0.452,1.9,2.4,0.787,1.7,5.0,6.7,1.9,1.0,2.1,2.7,5.1,10.2
Tangela Smith,463,400,12734.0,5.8,13.8,0.423,0.7,1.9,0.343,5.2,11.8,0.436,2.0,2.5,0.777,1.9,4.7,6.6,1.6,1.3,1.6,2.1,3.9,14.3
Sheri Sam,328,269,9269.0,5.0,12.6,0.397,0.8,2.8,0.302,4.2,9.8,0.424,2.2,3.1,0.698,1.7,3.6,5.3,2.9,1.7,0.2,2.5,3.0,13.0
Nykesha Sales,278,274,8762.0,6.1,14.5,0.418,1.4,4.1,0.356,4.6,10.5,0.443,2.6,3.4,0.781,1.4,3.4,4.8,2.8,2.0,0.3,2.4,3.3,16.2
Seimone Augustus,391,365,11250.0,7.9,16.4,0.48,0.9,2.6,0.364,6.9,13.8,0.502,2.6,3.0,0.858,0.7,3.3,3.9,2.9,0.9,0.4,2.0,1.5,19.2
Diana Taurasi,565,565,17322.0,6.9,16.4,0.425,3.0,8.3,0.36,3.9,8.0,0.491,5.2,6.0,0.87,0.5,4.1,4.6,5.0,1.1,0.7,3.2,3.6,22.1
Alana Beard,420,402,12330.0,5.3,12.1,0.435,0.8,2.5,0.336,4.4,9.6,0.46,2.5,3.2,0.766,0.8,3.4,4.1,3.1,2.1,0.6,2.5,3.4,13.8
Becky Hammon,450,329,12544.0,5.5,12.5,0.438,2.4,6.3,0.378,3.1,6.3,0.498,3.4,3.8,0.897,0.5,2.7,3.2,4.9,1.4,0.2,3.5,2.1,16.8
Lindsay Whalen,480,476,13601.0,5.2,11.3,0.461,0.5,1.8,0.29,4.7,9.5,0.493,3.7,4.6,0.812,0.9,3.9,4.8,6.2,1.3,0.1,2.7,2.6,14.6
Loree Moore,155,123,4062.0,2.9,8.0,0.363,1.2,3.7,0.337,1.7,4.4,0.385,1.1,1.7,0.674,1.1,3.7,4.8,5.0,2.3,0.2,3.0,2.8,8.2
Kelly Miller,364,215,8447.0,3.9,9.7,0.406,1.3,3.4,0.382,2.6,6.2,0.42,1.8,2.2,0.819,1.3,3.0,4.3,4.0,1.2,0.2,2.5,2.9,11.0
Stacey Dales,150,131,3883.0,4.3,11.3,0.38,2.2,6.2,0.348,2.1,5.1,0.42,2.0,2.7,0.739,1.0,2.0,3.0,3.7,0.9,0.2,2.5,3.1,12.8
Katie Douglas,412,387,12630.0,5.5,13.2,0.415,2.1,5.6,0.367,3.4,7.6,0.45,2.8,3.5,0.805,1.3,3.2,4.5,3.1,1.8,0.4,2.4,2.0,15.8
Candice Dupree,494,470,15154.0,6.8,13.6,0.495,0.1,0.3,0.244,6.7,13.3,0.501,2.8,3.4,0.821,1.8,5.6,7.5,2.1,1.0,0.8,2.1,2.1,16.4
Nakia Sanford,323,173,6158.0,4.0,8.4,0.484,0.0,0.1,0.25,4.0,8.3,0.486,3.1,5.2,0.59,3.1,5.2,8.3,1.2,1.1,0.8,3.1,5.7,11.2
Michelle Snow,402,306,9491.0,5.0,9.9,0.506,0.0,0.0,0.182,5.0,9.9,0.507,2.7,3.9,0.704,2.7,6.7,9.4,1.7,1.0,1.5,2.7,4.2,12.8
Tammy Sutton-Brown,388,363,9567.0,4.7,9.7,0.479,0.0,0.0,0.0,4.7,9.7,0.48,3.8,5.5,0.7,2.7,4.9,7.6,0.9,1.2,2.1,2.5,4.5,13.2
Angel McCoughtry,311,263,8695.0,8.4,19.5,0.429,1.0,3.5,0.293,7.3,15.9,0.459,6.3,7.8,0.802,2.1,4.4,6.5,3.8,2.6,0.8,3.9,3.5,24.0
DeWanna Bonner,554,411,16513.0,5.8,14.0,0.415,1.5,4.9,0.303,4.3,9.1,0.475,4.3,5.0,0.858,1.4,5.7,7.2,2.6,1.4,0.8,1.8,2.0,17.4
Cappie Pondexter,416,382,12785.0,6.9,16.3,0.422,1.3,3.7,0.35,5.6,12.6,0.443,4.1,4.9,0.842,0.7,3.6,4.3,4.4,1.2,0.2,2.7,2.5,19.2
Epiphanny Prince,315,171,7152.0,5.8,14.3,0.405,1.9,4.9,0.376,3.9,9.4,0.421,3.6,4.1,0.865,0.9,2.7,3.5,4.0,2.2,0.4,2.1,2.6,17.0
Tina Charles,473,464,14962.0,8.1,18.0,0.45,0.5,1.5,0.316,7.6,16.5,0.462,3.5,4.5,0.784,2.9,7.4,10.3,2.5,0.9,1.0,2.5,2.5,20.2
Kristi Toliver,380,289,10223.0,5.5,12.4,0.443,2.3,6.0,0.383,3.2,6.4,0.498,2.5,2.8,0.879,0.6,2.3,2.9,4.6,1.2,0.1,2.6,2.5,15.8
Temeka Johnson,327,255,7936.0,4.5,11.0,0.407,0.9,2.6,0.345,3.6,8.4,0.426,2.0,2.5,0.825,0.6,3.4,4.0,6.3,1.4,0.1,3.2,3.1,11.9
Kara Lawson,377,159,9244.0,4.9,11.9,0.414,2.3,5.8,0.39,2.6,6.0,0.437,2.2,2.5,0.89,0.7,3.1,3.8,3.7,0.9,0.2,2.1,1.8,14.3
Maya Moore,271,271,8466.0,7.6,16.7,0.453,2.3,5.9,0.384,5.3,10.8,0.491,3.8,4.4,0.86,2.0,4.8,6.8,3.8,1.9,0.7,2.2,2.9,21.2
Sylvia Fowles,408,399,12320.0,7.4,12.3,0.599,0.0,0.0,1.0,7.4,12.3,0.599,4.0,5.4,0.728,3.3,8.4,11.7,1.3,1.4,2.1,2.8,3.1,18.7
Candace Parker,410,406,12445.0,7.1,14.9,0.479,1.0,3.0,0.333,6.2,12.0,0.515,3.7,4.9,0.767,1.8,8.2,10.0,4.7,1.5,1.8,3.1,2.4,19.0
Rebekkah Brunson,453,368,11408.0,5.0,10.8,0.466,0.1,0.4,0.341,4.9,10.4,0.471,2.9,4.1,0.692,3.7,6.9,10.6,1.5,1.4,0.9,2.0,3.2,13.1
Krystal Thomas,176,68,2846.0,3.3,6.5,0.516,0.0,0.0,0.0,3.3,6.5,0.517,1.4,2.6,0.532,3.8,7.1,10.9,1.0,0.6,1.5,2.5,5.2,8.0
Taj McWilliams-Franklin,440,436,13546.0,5.3,10.8,0.489,0.2,0.7,0.279,5.1,10.1,0.502,2.6,3.5,0.737,2.8,5.2,8.0,2.3,1.5,1.2,2.4,3.1,13.3
Sancho Lyttle,392,281,9373.0,5.6,11.8,0.473,0.2,0.6,0.255,5.4,11.2,0.485,2.1,2.9,0.704,2.9,7.1,10.0,2.3,2.4,0.8,2.2,3.6,13.4
Sophia Young-Malcolm,301,282,9258.0,6.5,13.8,0.468,0.1,0.5,0.223,6.3,13.3,0.477,3.7,5.2,0.718,2.1,4.9,7.0,2.2,1.9,0.4,1.9,2.7,16.7
Glory Johnson,222,165,6032.0,5.4,12.3,0.44,0.5,1.7,0.311,4.9,10.6,0.461,3.7,5.1,0.728,2.9,6.8,9.8,1.7,1.7,0.6,2.4,3.3,15.1
Brittney Griner,364,350,10619.0,8.2,14.6,0.558,0.1,0.2,0.318,8.1,14.4,0.562,4.2,5.3,0.795,2.0,6.8,8.7,2.2,0.6,3.0,2.5,3.4,20.6
Breanna Stewart,310,310,10081.0,7.7,16.5,0.468,1.7,4.8,0.343,6.1,11.7,0.519,5.5,6.6,0.837,1.5,7.9,9.4,3.5,1.6,1.6,2.1,2.4,22.6
Elena Delle Donne,241,234,7279.0,8.0,16.9,0.475,1.7,4.3,0.392,6.3,12.6,0.504,5.5,5.9,0.937,1.8,6.2,8.0,2.2,0.9,1.7,1.4,2.0,23.3
Courtney Vandersloot,436,405,12214.0,4.8,10.8,0.446,1.1,3.4,0.335,3.7,7.4,0.497,2.0,2.5,0.813,0.6,3.5,4.1,8.5,1.6,0.6,3.4,2.8,12.8
Layshia Clarendon,284,163,6303.0,4.6,10.7,0.432,0.6,1.9,0.318,4.0,8.8,0.457,2.5,3.1,0.81,1.2,3.2,4.3,5.2,1.1,0.0,3.1,3.5,12.4
Skylar Diggins,351,338,11152.0,6.1,14.6,0.418,1.4,4.4,0.328,4.7,10.3,0.456,4.8,5.7,0.841,0.7,2.5,3.2,5.9,1.5,0.7,2.9,2.7,18.5
Alyssa Thomas,377,367,11581.0,5.7,11.7,0.491,0.0,0.1,0.071,5.7,11.6,0.494,3.3,5.1,0.653,2.3,6.6,8.9,6.1,1.8,0.4,3.2,3.0,14.8
Allie Quigley,347,172,7757.0,6.5,14.5,0.452,2.4,6.0,0.394,4.2,8.5,0.493,2.1,2.4,0.893,0.5,2.7,3.3,3.2,0.9,0.4,2.2,2.2,17.6
Shekinna Stricklen,311,142,6151.0,4.7,11.7,0.398,2.7,7.5,0.364,1.9,4.1,0.462,1.1,1.5,0.748,0.8,3.4,4.2,1.4,1.2,0.3,1.3,3.0,13.1
Jonquel Jones,323,276,8346.0,6.8,13.2,0.513,1.7,4.3,0.384,5.1,8.8,0.576,3.5,4.4,0.796,3.3,8.4,11.7,2.8,1.1,1.8,2.8,3.9,18.7
Elizabeth Williams,347,250,8788.0,4.9,10.0,0.486,0.0,0.0,0.0,4.9,10.0,0.486,2.2,3.6,0.628,3.2,4.9,8.1,1.9,1.2,2.1,1.6,3.0,12.0
Jessica Breland,269,198,5698.0,5.3,12.0,0.439,0.1,0.5,0.282,5.1,11.5,0.446,1.5,1.9,0.777,2.7,7.4,10.0,2.4,1.3,2.3,2.4,3.6,12.1
Nneka Ogqumike,452,451,13562.0,7.9,14.6,0.539,0.7,1.8,0.372,7.2,12.8,0.562,3.6,4.3,0.839,2.3,6.7,9.0,2.5,1.8,0.7,2.1,3.1,20.0
Jasmine Thomas,390,309,9703.0,4.9,13.0,0.377,1.4,4.3,0.328,3.5,8.7,0.401,1.9,2.4,0.797,0.7,3.1,3.8,5.0,1.5,0.3,3.0,2.5,13.1
Kelsey Plum,290,248,8694.0,6.3,14.4,0.436,2.6,6.7,0.384,3.7,7.7,0.481,3.5,4.0,0.879,0.4,2.7,3.1,5.3,1.1,0.1,2.7,2.9,18.6
Arike Ogunbowale,241,236,8167.0,7.0,18.1,0.388,2.6,7.4,0.347,4.5,10.7,0.417,4.2,4.8,0.867,0.6,2.8,3.4,4.2,1.6,0.1,2.3,2.6,20.8
A'ja Wilson,284,283,8876.0,9.1,18.2,0.499,0.4,1.1,0.374,8.7,17.1,0.507,6.3,7.7,0.822,2.2,8.5,10.7,2.7,1.5,2.3,2.0,2.2,24.9
Natasha Cloud,343,289,9675.0,3.9,9.8,0.393,1.3,4.1,0.313,2.6,5.7,0.449,2.2,2.7,0.813,0.4,3.9,4.2,6.7,1.3,0.3,2.6,2.9,11.2
Sabrina Ionescu,187,182,5857.0,6.3,15.7,0.403,2.9,8.2,0.349,3.4,7.4,0.461,3.5,3.8,0.911,0.9,5.3,6.3,6.7,1.1,0.4,3.3,1.9,18.9
Chelsea Gray,386,318,10988.0,5.7,12.3,0.459,1.5,3.8,0.384,4.2,8.5,0.492,2.3,2.7,0.868,0.5,3.6,4.1,6.5,1.5,0.4,3.0,2.1,15.1
Sophie Cunningham,229,108,5294.0,4.0,9.3,0.433,2.3,6.1,0.375,1.7,3.2,0.544,2.1,2.5,0.863,0.6,3.7,4.4,2.2,1.1,0.3,1.4,3.7,12.4
Rhyne Howard,152,150,5073.0,6.1,16.1,0.379,3.0,8.7,0.341,3.1,7.4,0.423,3.5,4.3,0.809,0.9,4.0,4.9,3.8,1.8,0.8,1.8,2.9,18.6
Ezi Magbegor,206,147,5207.0,5.6,10.8,0.518,0.5,1.5,0.332,5.1,9.2,0.549,2.1,2.8,0.752,2.5,6.1,8.6,2.4,1.2,2.4,1.9,4.0,13.8
Liz Cambage,167,137,4089.0,8.5,15.8,0.539,0.2,0.7,0.28,8.3,15.1,0.552,5.9,7.8,0.758,2.8,8.3,11.1,2.3,1.0,2.3,3.5,4.3,23.2
Brianna Turner,227,136,4924.0,2.9,5.0,0.574,0.0,0.0,0.0,2.9,5.0,0.576,0.8,1.2,0.637,2.5,6.6,9.1,2.0,1.1,1.7,1.7,3.1,6.5
Queen Egbo,78,31,1224.0,5.1,11.0,0.464,0.0,0.0,,5.1,11.0,0.464,2.4,3.7,0.648,3.1,8.0,11.1,1.2,1.4,1.9,2.9,5.5,12.6
Brittney Sykes,294,226,8062.0,5.9,14.3,0.411,1.1,3.7,0.3,4.8,10.6,0.45,3.8,4.9,0.769,1.0,4.2,5.2,3.9,1.7,0.6,2.6,3.1,16.6
Shey Peddy,131,34,2412.0,3.9,9.6,0.409,1.7,5.2,0.329,2.2,4.4,0.505,1.9,2.2,0.897,1.4,3.2,4.6,4.4,1.9,0.2,1.8,2.6,11.5
Caitlin Clark,70,70,2343.0,6.6,16.0,0.411,3.0,9.0,0.332,3.6,7.0,0.513,4.5,5.1,0.877,0.3,5.2,5.5,9.1,1.3,0.7,5.7,3.2,20.6
Chelsea Gray,386,318,10988.0,5.7,12.3,0.459,1.5,3.8,0.384,4.2,8.5,0.492,2.3,2.7,0.868,0.5,3.6,4.1,6.5,1.5,0.4,3.0,2.1,15.1
Jordin Canada,247,169,6451.0,4.5,11.3,0.396,0.7,2.7,0.258,3.8,8.5,0.44,3.3,4.2,0.801,0.5,3.1,3.6,7.0,2.2,0.2,2.9,2.4,12.9
Jackie Young,260,238,7828.0,6.1,13.2,0.465,1.6,4.2,0.376,4.5,9.0,0.506,3.1,3.6,0.861,1.0,3.9,4.9,5.3,1.3,0.3,2.1,2.5,16.9
Marina Mabrey,247,169,6475.0,6.4,15.9,0.405,2.7,7.8,0.351,3.7,8.1,0.457,2.2,2.7,0.804,0.8,4.0,4.8,4.4,1.2,0.5,3.0,3.1,17.8
