,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,deFG%,dTOV%,DRB%,dFT/FGA,,Arena
1,Houston Comets*,28.8,18,10,22,6,6.32,-0.78,5.47,99.4,90.7,+8.7,71.6,.357,.292,.523,,.473,20.4,36.2,.266,,.444,22.3,64.7,.236,,Compaq Center
2,Phoenix Mercury*,27.9,16,12,20,8,4.00,-0.49,3.44,91.4,86.1,+5.3,74.7,.359,.247,.473,,.411,18.8,33.2,.274,,.441,24.2,68.5,.245,,America West Arena
3,New York Liberty*,27.5,17,11,17,11,2.39,-0.32,2.22,90.6,87.4,+3.2,74.3,.354,.198,.482,,.439,21.3,34.6,.236,,.422,22.7,64.7,.246,,Madison Square Garden (IV)
4,Los Angeles Sparks,25.5,14,14,17,11,2.21,-0.28,1.94,93.9,91.1,+2.8,77.1,.348,.136,.504,,.464,20.4,32.7,.235,,.423,19.4,67.9,.263,,Great Western Forum
5,Cleveland Rockers,28.1,15,13,16,12,1.79,-0.22,1.56,94.4,92.0,+2.4,73.3,.382,.108,.515,,.464,21.6,32.2,.276,,.449,20.2,67.1,.219,,Gund Arena
6,Charlotte Sting*,27.0,15,13,16,12,1.29,-0.16,1.13,92.9,91.1,+1.8,72.5,.295,.194,.505,,.469,21.0,31.8,.204,,.436,19.4,68.8,.210,,Charlotte Coliseum
7,Sacramento Monarchs,27.7,10,18,5,23,-7.50,0.94,-6.56,90.4,100.4,-10.0,74.5,.309,.199,.483,,.436,22.2,36.7,.227,,.477,20.1,61.9,.262,,ARCO Arena (II)
8,Utah Starzz,24.9,7,21,3,25,-10.50,1.31,-9.19,85.4,99.2,-13.8,75.0,.296,.196,.449,,.404,20.5,33.3,.208,,.461,18.1,65.1,.241,,Delta Center
,League Average,27.2,,,15,13,0.00,0.00,0.00,92.3,92.3,,74.2,.337,.196,.492,,.444,20.8,33.9,.240,,.444,20.8,66.1,.240,,
