Name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cynthia Cooper,124,4363,6.6,14.4,.459,2.0,5.2,.377,4.6,9.2,.505,6.3,7.2,.871,0.8,2.5,3.3,5.0,1.6,0.3,3.5,2.2,21.5
Ruthie Bolton,218,91,5093,5.4,14.8,.367,2.2,7.0,.319,3.2,7.8,.410,2.4,3.2,.746,1.6,3.2,4.8,2.5,1.8,0.0,1.9,3.1,15.4
Lisa Leslie,363,361,11634,7.2,15.4,.470,0.4,1.2,.316,6.8,14.2,.483,4.6,6.6,.695,2.7,7.5,10.2,2.7,1.5,2.5,3.7,4.3,19.4
Wendy Palmer,311,215,7663,5.4,12.5,.434,0.7,2.3,.307,4.7,10.3,.462,3.2,4.5,.707,2.5,6.1,8.6,1.5,1.1,0.3,2.4,3.9,14.8
Jennifer Gillom,216,193,5886,6.4,15.1,.426,0.9,2.9,.326,5.5,12.2,.450,3.9,5.2,.759,1.7,4.2,5.9,1.6,1.3,0.6,2.7,3.8,17.7
Teresa Weatherspoon,254,220,7134,2.2,5.4,.411,0.4,1.3,.281,1.8,4.1,.454,1.6,2.4,.658,0.8,3.1,3.9,6.8,2.3,0.1,3.0,3.0,6.4
Penny Toler,88,62,2279,5.4,13.2,.406,0.5,1.8,.306,4.8,11.5,.421,2.6,3.3,.811,1.2,2.7,3.8,5.6,1.3,0.1,3.9,2.8,13.9
Michele Timms,116,112,3288,3.1,9.3,.338,1.4,4.4,.324,1.7,4.9,.350,1.8,2.4,.755,0.8,2.6,3.4,6.0,2.1,0.2,3.3,3.5,9.5
Chantel Tremitiere,101,49,2269,2.3,6.5,.353,0.5,1.6,.301,1.8,4.8,.370,1.9,2.6,.739,0.7,2.8,3.6,4.9,1.5,0.1,3.3,3.0,6.9
Sophia Witherspoon.207,146,4862,5.4,14.3,.380,1.9,5.5,.351,3.5,8.8,.398,3.6,4.5,.802,1.0,2.3,3.3,2.3,1.6,0.2,2.9,2.6,16.4
Bridget Pettis,228,71,3902,4.2,12.4,.341,1.4,5.3,.270,2.8,7.1,.393,3.2,3.9,.809,1.6,2.6,4.2,2.9,1.6,0.3,2.6,3.2,13.0
Janice Braxton,81,75,2138,4.2,9.1,.458,0.1,0.4,.333,4.0,8.7,.463,3.9,5.2,.748,1.7,6.2,7.9,2.6,1.8,0.9,2.6,3.3,12.3
Elena Baranova,209,168,5991,4.7,11.0,.424,1.3,3.4,.391,3.3,7.6,.439,2.0,2.3,.845,1.8,6.2,8.0,2.6,1.3,1.9,2.7,3.0,12.7
Rebecca Lobo,121,72,2329,4.9,12.0,.407,0.6,2.1,.295,4.3,9.9,.431,2.1,3.3,.628,2.4,5.4,7.7,1.8,0.8,1.6,2.9,3.6,12.5
Vicky Bullett,186,186,5950,4.9,10.9,.452,0.4,1.3,.315,4.5,9.5,.471,1.9,2.5,.776,2.2,5.0,7.2,1.8,2.1,1.7,2.2,3.1,12.2
Kim Perrot,58,54,1678,3.2,8.2,.387,1.2,4.4,.275,1.9,3.7,.520,1.4,2.3,.598,0.8,2.8,3.6,4.9,3.3,0.0,3.2,2.6,8.9
Umeki Webb,71,52,1816,2.3,7.1,.321,0.1,0.7,.189,2.1,6.4,.336,2.1,3.0,.702,1.8,3.1,4.9,3.4,2.4,0.7,2.4,4.5,6.8
Tamika Catchings,457,448,14387,6.0,14.4,.415,1.5,4.3,.356,4.5,10.1,.440,5.0,6.0,.840,2.3,6.0,8.3,3.7,2.7,1.0,2.6,3.1,18.5
