,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Layups,Layups,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%3PA,3P%
1,Atlanta Dream,16,3200,.446,12.0,,.617,.335,.221,.045,.016,.383,,.512,.611,.420,.314,.278,.339,,.528,.939,,.451,287,,.182,.329
2,Chicago Sky,16,3225,.413,12.0,,.670,.295,.239,.092,.045,.330,,.476,.577,.401,.366,.429,.285,,.611,.864,,.390,227,,.199,.264
3,Connecticut Sun,18,3625,.429,12.0,,.722,.249,.261,.132,.081,.278,,.492,.645,.437,.378,.386,.266,,.580,.891,,.376,269,,.145,.300
4,Dallas Wings,17,3425,.462,13.7,,.660,.193,.227,.167,.072,.340,,.522,.706,.439,.493,.360,.346,,.623,.890,,.311,237,,.153,.359
5,Golden State Valkyries,17,3400,.406,15.4,,.548,.126,.274,.094,.055,.452,,.451,.604,.431,.405,.277,.353,,.509,.862,,.301,185,,.216,.362
6,Indiana Fever,17,3450,.460,13.7,,.599,.247,.233,.065,.054,.401,,.535,.642,.507,.342,.397,.348,,.572,.816,,.383,276,,.199,.323
7,Los Angeles Sparks,16,3225,.459,13.1,,.610,.243,.263,.076,.029,.390,,.546,.718,.456,.378,.355,.324,,.591,.824,,.394,263,,.193,.321
8,Las Vegas Aces,17,3400,.484,13.7,,.665,.148,.289,.151,.077,.335,,.545,.759,.535,.449,.363,.363,,.630,.888,,.297,235,,.201,.354
9,Minnesota Lynx,17,3400,.497,12.4,,.715,.298,.187,.077,.153,.285,,.544,.683,.496,.326,.443,.380,,.549,.846,,.402,310,,.208,.423
10,New York Liberty,18,3625,.463,14.2,,.560,.185,.280,.066,.029,.440,,.542,.762,.432,.474,.353,.363,,.610,.886,,.338,237,,.245,.408
11,Phoenix Mercury,18,3625,.427,14.0,,.625,.176,.271,.101,.077,.375,,.492,.643,.489,.378,.308,.320,,.619,.879,,.317,222,,.259,.333
12,Portland Fire,17,3400,.445,13.6,,.590,.158,.349,.053,.029,.410,,.514,.599,.506,.407,.333,.346,,.560,.918,,.374,232,,.248,.412
13,Seattle Storm,18,3625,.413,14.2,,.611,.159,.284,.101,.067,.389,,.461,.633,.449,.308,.329,.338,,.595,.872,,.325,216,,.174,.300
14,Toronto Tempo,17,3425,.440,13.9,,.599,.264,.182,.084,.068,.401,,.497,.648,.396,.327,.392,.354,,.561,.842,,.348,237,,.212,.414
15,Washington Mystics,15,3050,.448,11.2,,.694,.287,.304,.070,.034,.306,,.518,.688,.424,.364,.250,.290,,.613,.893,,.453,256,,.207,.367
,League Average,17,3418,.446,13.3,,.632,.223,.257,.093,.060,.368,,.510,.658,.457,.392,.367,.337,,.584,.873,,.362,246,,.204,.356
